	name	kind	query	description	comment	url	source	ccd	in_ccd
224	Z293099934	SMILES	CCOC(=O)c1c(C)cc(=O)oc1C		ENAMINE library		ENAMINE		False
225	Z270834632	SMILES	CN(C)C(CN)c1cccnc1		ENAMINE library		ENAMINE		False
226	Z1227757598	SMILES	Cn1cc(CC2CCNC2)cn1		ENAMINE library		ENAMINE		False
227	Z431952782	SMILES	CC(C)(C)c1cnc(CO)o1		ENAMINE library		ENAMINE		False
228	Z732207426	SMILES	CSCCc1ccc(N)cc1		ENAMINE library		ENAMINE		False
229	Z271013048	SMILES	COCC(N)c1ccc(C)o1		ENAMINE library		ENAMINE		False
230	Z1262687677	SMILES	NC1CCOC1c1ccccc1		ENAMINE library		ENAMINE		False
231	Z1154639631	SMILES	Cc1nn(C)c(C)c1C(=O)C(F)(F)F		ENAMINE library		ENAMINE		False
232	Z1090112882	SMILES	CN(C)C(=O)COC1CNC1.Cl		ENAMINE library		ENAMINE		False
233	Z1138834350	SMILES	c1cnn(CC2CNCCO2)c1		ENAMINE library		ENAMINE		False
234	Z1201621264	SMILES	Cc1cnccc1Br		ENAMINE library		ENAMINE		False
235	Z337709426	SMILES	Cn1cc(Br)cn1		ENAMINE library		ENAMINE		False
236	Z994289008	SMILES	CCc1cnc(CNC)s1		ENAMINE library		ENAMINE		False
237	Z803101404	SMILES	CC(C(=O)O)c1ccc(Cl)s1		ENAMINE library		ENAMINE		False
238	Z1095213938	SMILES	COc1cccc2c1OCC(N)C2		ENAMINE library		ENAMINE		False
239	Z165764500	SMILES	Cc1csc(SCc2noc(C)n2)n1		ENAMINE library		ENAMINE		False
240	Z828632066	SMILES	CC1CN(C(=O)C(C)n2ccnc2)CC(c2ccccc2)O1		ENAMINE library		ENAMINE		False
241	Z406440680	SMILES	CCN1CCN(C(=O)C(C)SC)CC1		ENAMINE library		ENAMINE		False
242	Z112829406	SMILES	Cc1nnc(SC(C)C(=O)N2CCCCCC2)s1		ENAMINE library		ENAMINE		False
243	Z270760514	SMILES	CN(C)C(=O)CCN.Cl		ENAMINE library		ENAMINE		False
244	Z56822813	SMILES	Nc1ccccc1OC(F)F		ENAMINE library		ENAMINE		False
245	Z164835302	SMILES	CN1N=C(C(=O)N2CCCC2c2cccs2)CCC1=O		ENAMINE library		ENAMINE		False
246	Z240141716	SMILES	Cc1cc2ncc(C(=O)N3CCCC3)c(C)n2n1		ENAMINE library		ENAMINE		False
247	Z237676282	SMILES	Cc1noc(CSc2ccccn2)n1		ENAMINE library		ENAMINE		False
248	Z856472178	SMILES	CC1CN(C(=O)c2ccc(Cl)o2)CC(C)(C)O1		ENAMINE library		ENAMINE		False
249	Z90122410	SMILES	CC(=O)c1cc(C)sc1C		ENAMINE library		ENAMINE		False
250	Z1502853563	SMILES	NC1C2CCOC2C12CCC2		ENAMINE library		ENAMINE		False
251	Z385420818	SMILES	O=C(c1cccs1)C1CCCC1		ENAMINE library		ENAMINE		False
252	Z1359426866	SMILES	CCC1CN(C)c2ccccc2CN1		ENAMINE library		ENAMINE		False
253	Z979724158	SMILES	CC1(c2ccccc2)CNCCO1		ENAMINE library		ENAMINE		False
254	Z1407619616	SMILES	c1ccc(C23CCCCC2CN3)cc1		ENAMINE library		ENAMINE		False
255	Z1138843232	SMILES	CCC(O)(CC)C1CCOC1		ENAMINE library		ENAMINE		False
256	Z1139321447	SMILES	Cc1cnn(CC2CCCN2C(=O)C2CCCO2)c1		ENAMINE library		ENAMINE		False
257	Z1269212770	SMILES	Oc1cccc(F)c1I		ENAMINE library		ENAMINE		False
258	Z854216260	SMILES	CC(O)CCN1CCCC1=O		ENAMINE library		ENAMINE		False
259	Z1008237958	SMILES	Cc1nn(C)c(C)c1CC(C)N		ENAMINE library		ENAMINE		False
260	Z838950706	SMILES	CC(C)(C)C(O)C(F)(F)F		ENAMINE library		ENAMINE		False
261	Z852744572	SMILES	Cc1ccc(C(=O)C(C)(C)C)o1		ENAMINE library		ENAMINE		False
262	Z406338806	SMILES	CC(CN)CN1CCN(C)CC1		ENAMINE library		ENAMINE		False
263	Z119989396	SMILES	OCC1CC(F)(F)C1(F)F		ENAMINE library		ENAMINE		False
264	Z1259397605	SMILES	CC1CNC(C(F)(F)F)CO1		ENAMINE library		ENAMINE		False
265	Z979717344	SMILES	Fc1cc(F)c2c(c1)CNCC2		ENAMINE library		ENAMINE		False
266	Z1218937242	SMILES	C1CCC2SCCNC2C1		ENAMINE library		ENAMINE		False
267	Z852743034	SMILES	O=C(c1ccco1)c1ccco1		ENAMINE library		ENAMINE		False
268	Z1020847572	SMILES	NCC1(c2ccccc2Br)CC1		ENAMINE library		ENAMINE		False
